ID||Anzahl|Original|Alternativname|normalisiert (deutsch)|Long|Lat|wikidata-id|Getty-id|Geonames-id|Kommentar |Zuordnung|Lage|Sicherheit|Inst. in der Stadt|wikidata-id inst|Geonames-id inst||||||||GND|
1567|0|8|Agram|Zagreb|Agram|15.97798|45.81444|https://www.wikidata.org/wiki/Q1435|7005187|http://www.geonames.org/3186886||||||||0|0|0|0|0|0|0||
1570|0|2|Agrigenti||Agrigento|13.57661|37.31065|https://www.wikidata.org/wiki/Q13678|7003808|http://www.geonames.org/2525764||||||||0|0|0|0|0|0|0||
1569|0|1|Agrigent||Agrigento|13.57661|37.31065|https://www.wikidata.org/wiki/Q13678|7003808|http://www.geonames.org/2525764||||||||13.5896537|37.316522|0|Friedrich II. 1232 XI. 6 Agrigent|5|4|350||
1573|0|1|Aham||Aham|12.46667|48.53333|https://www.wikidata.org/wiki/Q253496|103821|http://www.geonames.org/2959282||||||||0|0|0|0|0|0|0||
1576|0|35|Aichach||Aichach|11.13413|48.45755|https://www.wikidata.org/wiki/Q251678|7004427|http://www.geonames.org/2958975||||||||0|0|0|0|0|0|0||
1575|0|2|Aicha||Aichach|11.13413|48.45755|https://www.wikidata.org/wiki/Q251678|7004427|http://www.geonames.org/2958975||||||||0|0|0|0|0|0|0||
129|0|1|(Augsburg - Aichach)||Aichach|11.13413|48.45755|https://www.wikidata.org/wiki/Q251678|7004427|http://www.geonames.org/2958975|doppelt|||||||||||||||
19|0|5|(Aichach)||Aichach|11.13413|48.45755|https://www.wikidata.org/wiki/Q251678|7004427|http://www.geonames.org/2958975||||||||0|0|0|0|0|0|0||
1577|0|1|Aichen||Aichen|10.55|48.2333|https://www.wikidata.org/wiki/Q403583|7216561|http://www.geonames.org/2958951||||||||0|0|0|0|0|0|0||
2584|0|1|Aquam Bellani||Aiguebelle|6.30528|45.5425|https://www.wikidata.org/wiki/Q693071|1031700|http://www.geonames.org/3038507||||||||0|0|0|0|0|0|0||
